t,returns,jump_true,jump_size_true,p_jump,jump_size_hat,jump_pred,ess,resampled
419,0.01403586,0,-0.0,0.025097690677699704,0.0002461422874875683,0,944.8421873187967,0
420,0.00142127,0,-0.0,0.010402506729222414,-1.8330774701737804e-05,0,966.4825109208216,0
421,-0.00787398,0,0.0,0.026175647028478535,-0.00031159414905013324,0,969.2207010792381,0
422,-0.005444,0,-0.0,0.014704312527031638,-8.195081359183531e-05,0,969.2457919894086,0
423,-0.01430537,0,-0.0,0.06145826517367078,-0.0009398119831961868,0,931.2752510805241,0
424,-0.00838134,0,0.0,0.019983396904454838,-0.00019133662071182397,0,977.9474741299995,0
425,-0.00308017,0,0.0,0.009861294629198047,-4.17136886227554e-05,0,965.571770370824,0
426,0.00853585,0,-0.0,0.020994664641820638,0.00011518926640715114,0,960.2271636944121,0
427,0.0177077,0,-0.0,0.032288274521021385,0.0004632391031646819,0,920.8182139715133,0
428,-0.01332182,0,-0.0,0.03580687076376246,-0.00042994276932338467,0,957.8445424012701,0
429,0.00442827,0,-0.0,0.02301353072598546,2.8976732434583936e-05,0,963.17943254556,0
430,-0.00990544,0,-0.0,0.029224719969777987,-0.0003363793244918064,0,958.4738056104626,0
431,0.00524697,0,-0.0,0.009735162308992072,1.6751134265581376e-06,0,966.0442660461093,0
432,-0.00081087,0,0.0,0.013387992761555664,-3.339081992516268e-05,0,969.1741828999523,0
433,-0.01780906,0,-0.0,0.07164982076878894,-0.0011668073031016214,0,854.1952431349808,0
434,0.00978297,0,-0.0,0.019209850766676747,0.00013352990543293903,0,964.650222018522,0
435,-0.00555001,0,0.0,0.017831518840771048,-0.0001778519612085707,0,964.6869288031777,0
436,-0.004839,0,0.0,0.014083911446753743,-6.0971490580792104e-05,0,971.59078894531,0
437,-0.01019752,0,-0.0,0.02868708640498723,-0.00030851219601269825,0,963.7393311972098,0
438,-0.00604283,0,-0.0,0.0216570140289861,-0.00018924432089872955,0,977.0509202141005,0
439,0.0047789,0,0.0,0.008238314741137143,2.9396316457513505e-05,0,969.0841370306493,0
440,-0.00139244,0,-0.0,0.014215820845331555,-5.7750008030829224e-05,0,979.23476625103,0
441,0.00378662,0,0.0,0.015346618578226272,1.5016719934601548e-05,0,972.2994523807101,0
442,-0.04643025,1,-0.05054947,0.9970000000000008,-0.0444861978106444,1,1000.0,1
443,0.01370662,0,-0.0,0.02965101779948808,0.00023733899541671983,0,945.9596676290876,0
444,-0.00292786,0,-0.0,0.012599956044132672,-7.929072450391818e-05,0,965.2407543682737,0
445,-0.01426858,0,-0.0,0.05028562754321717,-0.0008221962619332135,0,939.7744646929509,0
446,0.01117222,0,-0.0,0.01416363722068684,8.899903302278444e-05,0,962.65199323721,0
447,-0.00281488,0,-0.0,0.012919169905229918,-7.017690584776325e-05,0,968.7685714252298,0
448,0.01164592,0,0.0,0.016163496070961892,9.542804134433453e-05,0,970.3594499599578,0
449,0.00433377,0,-0.0,0.011719333159716528,2.0481568399917105e-05,0,977.8939636489856,0
450,-0.00081138,0,-0.0,0.014157806114999434,-2.0854135469056322e-05,0,967.9119602534696,0
451,0.00112298,1,-0.00286478,0.011849611537005937,-3.910825848116958e-05,0,968.2175734880107,0
452,0.02001013,0,-0.0,0.05472942353372373,0.0008481411828893348,0,814.694896869484,0
453,0.02126981,0,0.0,0.03772581926448715,0.000583782497331177,0,849.0860754304606,0
454,0.00119381,0,0.0,0.01195571096175796,1.584424570823664e-05,0,967.8721179004413,0
455,0.00210191,0,0.0,0.015867014099247203,-3.8704678602222416e-05,0,966.4858439547238,0
456,0.0112624,0,-0.0,0.027445451731793132,0.00027016000982210854,0,966.4141793666794,0
457,-0.00795661,0,-0.0,0.021936116576485927,-0.00016172744668802695,0,958.6311062870573,0
458,0.0038307,0,0.0,0.012018247918423267,1.968827593912946e-05,0,969.7469741073924,0
459,0.00024137,0,0.0,0.009312960554654956,-3.218210694044568e-05,0,971.7733139407344,0
460,0.00363908,0,-0.0,0.012530914190726857,3.724296147755408e-05,0,959.6381715542623,0
461,-0.00783369,0,-0.0,0.027326848321613754,-0.00021585424221452068,0,973.2630482152945,0
462,-0.01539567,0,-0.0,0.0348549183000506,-0.0006154906739502143,0,949.1934796221943,0
463,-0.02022983,0,-0.0,0.1105206174398323,-0.00222933283604689,0,662.1263770408586,0
464,-0.01067384,0,-0.0,0.029200781314388052,-0.0003793588135965912,0,973.6183823026033,0
465,-0.00408675,0,-0.0,0.016277233501776532,-9.242343887237161e-05,0,974.4963159405712,0
466,0.00744624,1,0.00987816,0.012430423509381824,2.4574936739901863e-05,0,972.4742385869595,0
467,0.01987231,0,-0.0,0.03865585301842162,0.00042389487680097933,0,877.2900208072857,0
468,0.01155993,0,-0.0,0.021753005008271348,0.0002011122110760685,0,961.623636901815,0
469,-0.00912091,0,-0.0,0.028513898982068575,-0.0003184052609136962,0,965.4472441297542,0
470,0.00397708,0,-0.0,0.015259204403144839,3.2218270840105553e-05,0,969.420407810002,0
471,-0.00357078,0,-0.0,0.01785727772755665,-9.210467191052677e-05,0,961.7364106291706,0
472,-0.00234364,0,-0.0,0.017434807858187306,-7.453282566929076e-05,0,967.3588987539442,0
473,0.00235326,0,-0.0,0.014620928603769281,3.446555938593633e-05,0,968.3024511135628,0
474,0.00669171,0,-0.0,0.01310133431549747,1.2996368922556115e-05,0,967.3804471740385,0
475,-0.00289258,0,-0.0,0.013560611292271419,-9.327419691522587e-05,0,967.0329497821385,0
476,0.01113852,0,-0.0,0.022954487994167685,0.0002047372770584667,0,959.1922222405383,0
477,-0.01091938,0,0.0,0.014168871686833407,-0.00019857905296031587,0,969.1270164128574,0
478,0.00056339,0,-0.0,0.017616465473607693,-4.026300032113296e-05,0,964.3894731706561,0
479,0.02647674,0,-0.0,0.1520000000000001,0.002837006995059643,0,1000.0,1
480,0.0027308,0,-0.0,0.007205322020964511,-1.1635821074672424e-05,0,966.8021221223177,0
481,0.01483215,0,-0.0,0.027929425410398622,0.0003116793514958435,0,950.23407867556,0
482,-0.0087524,1,-0.01016761,0.026745723005343603,-0.00023361207103243708,0,968.4557351333885,0
483,0.00630777,0,-0.0,0.010526868206670736,1.9132499367803465e-05,0,963.4052198309412,0
484,-6.783e-05,0,-0.0,0.008325916735439599,-2.5898490966891598e-05,0,969.874333141076,0
485,-0.00120408,0,-0.0,0.01308850604693868,-7.839188618341582e-05,0,970.6875387983512,0
486,-0.00729482,0,-0.0,0.025480543425056314,-0.00022020760604460582,0,975.0240710528094,0
487,0.00480301,0,-0.0,0.009259072585007112,4.297125368730457e-06,0,961.2188863913493,0
488,-0.00801537,0,0.0,0.02150427791972053,-0.00016671657215653994,0,978.2688420876757,0
489,0.00715585,0,-0.0,0.015320575035905844,8.777667224045556e-05,0,970.0177279423388,0
490,0.01135287,0,0.0,0.015049993493151052,5.8909807599612084e-05,0,956.0900063209177,0
491,0.00416531,0,-0.0,0.018304787334235125,3.7633419562355883e-05,0,969.6867675459584,0
492,-0.00236249,0,-0.0,0.011374807218921356,-5.8021887198351594e-05,0,972.4823852619671,0
493,0.00503966,0,-0.0,0.014105413903336795,3.816175503778178e-05,0,971.7757009375026,0
494,-0.00258673,0,-0.0,0.01348407214086679,-6.885032384785219e-05,0,958.5775072567678,0
495,0.00985547,0,-0.0,0.011555639759065681,8.605614019326518e-05,0,965.7172179042198,0
496,-0.01781406,0,-0.0,0.08286043517808211,-0.0014821719851775836,0,836.6041023485222,0
497,-0.00285607,0,0.0,0.011829723968676431,-0.00011390518650806291,0,969.9537306458026,0
498,-0.01940812,0,0.0,0.08749328159350624,-0.0016129811007379953,0,769.6520594146255,0
499,-0.01445061,0,-0.0,0.05514330111814995,-0.0008349333244099899,0,936.3380001942921,0
500,0.01413862,0,0.0,0.02831713456555185,0.0002498248755649428,0,947.0962075736226,0
