t,output_gap_obs,inflation_obs,interest_rate_obs,output_gap_true,inflation_true,interest_rate_true,output_gap_filt,inflation_filt,interest_rate_filt,output_gap_filt_std,inflation_filt_std,interest_rate_filt_std,ess,resampled
34,-0.173581,-0.302604,-0.28771,-0.235459,-0.228583,-0.34193,-0.1302563753995806,-0.15726573552174003,-0.2805488024184253,0.10531503944872862,0.07920519522945944,0.07126606945155783,2000.0,1
35,-0.051243,-0.015879,-0.402665,-0.247539,-0.114802,-0.427134,-0.11849058111704314,-0.10903930465325155,-0.3360286015136819,0.10538649635629017,0.08145296007288536,0.0702849649155043,1196.7223790193607,0
36,-0.476295,-0.284939,-0.505474,-0.243329,-0.225402,-0.520025,-0.2602527409382685,-0.21217456621462305,-0.468461925352047,0.10192363156370092,0.08069596649108722,0.07099612319087156,2000.0,1
37,0.266786,-0.30886,-0.60175,-0.134965,-0.325923,-0.584253,-0.12340868928509292,-0.23541830151574974,-0.5455325265073458,0.10819594230428796,0.08360209410627648,0.06765713025062059,2000.0,1
38,-0.289581,-0.141159,-0.580523,-0.097695,-0.251685,-0.685087,-0.16939675771416782,-0.16692498507701992,-0.5676242727449697,0.10530654059193797,0.0815305376399317,0.06980943660841629,1249.370476781804,0
39,0.069132,-0.272389,-0.740616,-0.080713,-0.203006,-0.654081,-0.14222153615882074,-0.21659802204307133,-0.6480301930526843,0.11079365185542799,0.0837211180165245,0.0691843385507947,2000.0,1
40,-0.407926,0.187021,-0.692748,-0.070456,0.037538,-0.530555,-0.20911248863854373,-0.07319988138454776,-0.6315727122183245,0.10642744708543302,0.08141231644762359,0.07074300228380793,2000.0,1
41,-0.351813,-0.162086,-0.391668,-0.16576,-0.013031,-0.453112,-0.18859610921283673,-0.061223592830782186,-0.5089354867656178,0.10270689301972334,0.0783805602872046,0.06928095765619305,2000.0,1
42,0.290008,0.117205,-0.247668,-0.013266,0.073016,-0.310791,0.02212591930962926,0.05835595194733709,-0.31490622634453563,0.09984477709741699,0.08017790292337322,0.07071445950615447,2000.0,1
43,0.082211,0.096345,-0.226744,0.134391,-0.042051,-0.274768,0.045118116967349645,0.05751024055222702,-0.21772125817080357,0.10383111460433136,0.08215145809126242,0.0714704843944793,1396.3282025040119,0
44,0.196279,0.047487,-0.267976,0.028294,-0.051518,-0.308749,0.055800115694749776,0.015625097045368855,-0.19634051345452636,0.10443230211299047,0.08011633114086983,0.07089803816549453,2000.0,1
45,0.136371,0.266179,-0.345441,0.08898,-0.021287,-0.313387,0.03615597476108305,0.041220271575252154,-0.20689913400073132,0.10483390865125423,0.08146134325680572,0.07373982394137307,2000.0,1
46,-0.042467,-0.100251,-0.127218,-0.021476,0.014265,-0.205966,0.006892500101202924,-0.008425900600745516,-0.15533851672816043,0.10664083185885195,0.08206401906188052,0.07020751502182308,1282.3374285600041,0
47,0.453115,0.14575,0.063772,0.180345,0.352622,0.068328,0.19076842693377546,0.11404296168976245,0.020340831809082197,0.11001018671693012,0.08335106503895245,0.07054406179758473,2000.0,1
48,0.016025,-0.167037,0.023064,0.063357,-0.017887,0.071776,0.088213613547651,-0.002196519273892626,0.019110345010039515,0.109081129282725,0.08187624862167706,0.06714819303373004,2000.0,1
49,-0.380421,0.041305,-0.038108,-0.024273,-0.057761,-0.006919,-0.07237076810624138,-0.012132133521405176,-0.021993154773633845,0.10687442082981413,0.08189661920840995,0.0706960746023978,2000.0,1
50,-0.196573,0.141628,0.230666,-0.035925,0.06694,0.028602,-0.0183895152715677,0.09461194408831589,0.1066045779778368,0.10254646496769022,0.07964691427785087,0.0712252181909759,2000.0,1
51,0.062042,-0.069216,-0.286266,-0.048196,-0.084554,-0.112769,-0.10205369044999187,-0.10338715196067606,-0.0974680620388148,0.10407901643273837,0.08989158374184064,0.07192566113005376,2000.0,1
52,-0.012905,-0.243701,-0.00787,-0.092007,-0.075257,-0.057849,-0.04761285603488827,-0.09090655525591677,-0.0862655516628466,0.10653313623525244,0.0826443740209315,0.07045089002275771,2000.0,1
53,-0.383191,0.154742,-0.233255,-0.069779,0.039712,-0.065344,-0.15660466080564026,-0.04276663741704855,-0.16821249134567298,0.10686078688167011,0.08350269641076662,0.06940055710355862,2000.0,1
