t,y_obs,S_true,I_true,R_true,S_filt,I_filt,R_filt,I_q05,I_q50,I_q95,R0_mean,R0_q05,R0_q95,ess,log_lik_inc
126,6.0,491.0,6.0,9503.0,472.94857742630103,5.9166576262440564,9521.13476494746,4.0,6.0,8.0,3.110864743952149,3.0529303737903115,3.186977895143423,3203.618603535711,-3.5508381727152045
127,4.0,491.0,5.0,9504.0,473.00119999999964,5.8715999999999955,9521.127199999992,4.0,6.0,8.0,3.1111877803313757,3.0529303737903115,3.186977895143423,5000.000000000007,-1.9727207663338202
128,2.0,491.0,5.0,9504.0,472.77086836868347,5.195186577003481,9522.033945054305,3.0,5.0,7.0,3.1112414338876397,3.0529303737903115,3.186977895143423,4851.572285389782,-1.4691720974233284
129,1.0,491.0,5.0,9504.0,472.55602903425955,4.299361189647364,9523.144609776093,2.0,4.0,6.0,3.1109930717256846,3.0529303737903115,3.186977895143423,4134.160527788165,-1.4975652208487817
130,0.0,491.0,4.0,9505.0,472.36139999999966,3.0149999999999975,9524.623599999994,1.0,3.0,5.0,3.1110635530348842,3.0529303737903115,3.186977895143423,5000.000000000007,-1.7318659197841093
131,0.0,491.0,4.0,9505.0,472.50031501300157,1.9408052707504233,9525.558879716247,0.0,2.0,4.0,3.1118215644288014,3.0529303737903115,3.186977895143423,3446.3435556891195,-1.1702421638088802
132,2.0,491.0,3.0,9506.0,472.3486105491098,2.516922312029564,9525.134467138858,1.0,2.0,4.0,3.109797246639282,3.0529303737903115,3.186977895143423,4234.57116446112,-1.9397547334281455
133,2.0,491.0,2.0,9507.0,472.4716835479385,2.6979422931267782,9524.830374158937,1.0,3.0,4.0,3.1097715235606334,3.0529303737903115,3.186977895143423,3762.5668952199567,-1.6788537382331263
134,0.0,491.0,2.0,9507.0,472.50192066235206,1.980900408484765,9525.517178929167,1.0,2.0,4.0,3.10949059587381,3.0529303737903115,3.186977895143423,3406.4089000885447,-1.1104670535619983
135,3.0,491.0,2.0,9507.0,472.41183595664376,2.622969745303191,9524.965194298053,1.0,3.0,4.0,3.109838613154725,3.0529303737903115,3.186977895143423,2896.3232372767898,-2.84774017021204
136,0.0,491.0,1.0,9508.0,471.77974166743485,1.9475986392969231,9526.27265969327,1.0,2.0,3.0,3.1106418271308307,3.0529303737903115,3.186977895143423,2748.5999262944338,-1.0843246533432547
