section,t,y_obs,h_true,h_mean,h_q05,h_q95,vol_mean,vol_q05,vol_q95,ess,parameter,true_value,post_mean,post_std,ci_low,ci_high,value
filtered,48.0,0.47616309,-1.14676906,-1.1448989316530844,-1.2395496069934016,-1.0411516621457324,0.5641418986222283,0.5380655944425273,0.5941783031122844,953.4384658586285,,,,,,,
filtered,49.0,0.06609857,-1.27818785,-1.1471371731416542,-1.2411344970418559,-1.0491517947318953,0.56351090886348,0.537639375939174,0.5918062977620266,995.8531937539814,,,,,,,
filtered,50.0,-0.55976836,-1.07495797,-1.1426645634067234,-1.2422753248485314,-1.0438556425986532,0.564772501178584,0.5373327864139332,0.5933755226516522,931.788458648093,,,,,,,
filtered,51.0,-0.7277323,-0.96208189,-1.134985366477714,-1.235082900767243,-1.043629774584053,0.566945169224134,0.5392686278120294,0.5934425387113839,891.4363508238529,,,,,,,
filtered,52.0,-0.43802134,-0.99403507,-1.1327730471317332,-1.2349244764614165,-1.0414463235695117,0.5675726480890531,0.5393113461329198,0.5940907688482985,956.5327263938739,,,,,,,
filtered,53.0,0.53208017,-1.04506898,-1.1411980616964128,-1.2416337590826427,-1.0442863298736986,0.5651867729620498,0.5375051812234334,0.5932477567654665,937.8900900996024,,,,,,,
filtered,54.0,0.64636484,-1.30281497,-1.1495842008348112,-1.25566807236219,-1.0456455375091451,0.5628218670758287,0.5337466257809839,0.5928447202931878,910.199227759987,,,,,,,
filtered,55.0,-0.33767824,-1.25807018,-1.1479000500101584,-1.2503283294347194,-1.0452510490504092,0.5632960051335959,0.5351735646901316,0.5929616670263318,973.7322029140473,,,,,,,
filtered,56.0,0.37716985,-1.46723676,-1.153046123221568,-1.2531403028903312,-1.0503410736343024,0.561848486949787,0.5344216464784836,0.5914544909993632,967.5733063365032,,,,,,,
filtered,57.0,0.2166753,-1.53264356,-1.1577055316353502,-1.2514296926032356,-1.059701706335233,0.5605410697051684,0.534878935594529,0.5886927647921267,985.7269529595742,,,,,,,
filtered,58.0,0.64576019,-1.51338643,-1.160517731618824,-1.2619267336331201,-1.0554180825354902,0.5597534467797507,0.5320789668024251,0.589954985197948,915.4244785590515,,,,,,,
filtered,59.0,-0.35607722,-1.53388818,-1.1566635674670733,-1.250432160975882,-1.0616257840883787,0.560833177644803,0.5351457814633259,0.5881266918018107,973.9034940965007,,,,,,,
filtered,60.0,0.04787006,-1.49098019,-1.1593507991244827,-1.2559510811873065,-1.0639896425066748,0.5600801393204514,0.5336711036217332,0.5874319783180434,996.076308174966,,,,,,,
filtered,61.0,0.02309567,-1.27237265,-1.1619815868727794,-1.2572022115630945,-1.0660075431518365,0.5593438976661956,0.5333373619569897,0.5868395875307166,996.1061077543477,,,,,,,
filtered,62.0,0.59437843,-1.21067081,-1.1715594498199455,-1.2594434228562978,-1.0722415600920971,0.5566716418023056,0.5327400358436528,0.5850132513970585,923.1519328703434,,,,,,,
filtered,63.0,0.02020686,-1.38266515,-1.1717669010991516,-1.2557540269319678,-1.0735116431216922,0.5566139036747246,0.5337236872931097,0.5846418616321553,995.7749557244026,,,,,,,
filtered,64.0,0.05907657,-1.51017158,-1.1775837714642416,-1.2648841756512337,-1.081856924331441,0.5549973801306713,0.53129275189525,0.5822074437685352,995.8884011572047,,,,,,,
filtered,65.0,0.52894834,-1.70136936,-1.1809620961683915,-1.2754519452991218,-1.0877736965439617,0.5540606907835637,0.528492865838429,0.5804875945992227,935.65921270188,,,,,,,
filtered,66.0,-0.49354863,-1.71366168,-1.1709234132026398,-1.2671164467527751,-1.0761695018306383,0.5568487017289635,0.5307000879751548,0.5838654299260898,949.2637594252992,,,,,,,
filtered,67.0,0.30985436,-1.84458869,-1.175242302265111,-1.265247845176706,-1.0780622722701885,0.5556475152598462,0.5311961531865336,0.5833131296984783,976.5454162080081,,,,,,,
filtered,68.0,0.5617943,-1.69353205,-1.1809947841024822,-1.2715627788516344,-1.083969179193513,0.5540516353078938,0.5295215640697079,0.581592883100931,930.7818763482546,,,,,,,
filtered,69.0,-0.59197277,-1.23564672,-1.1743372610579472,-1.2671629873216397,-1.0808321957843021,0.5558990141087441,0.5306877385768469,0.5825058224953007,920.0464830711713,,,,,,,
